,graph_id,src,dest,total_border,greatest_border,nb_borders
1322,9,1,4,24551.686181143472,24551.686181143472,1
1323,9,1,7,1595.0952137721192,1595.0952137721192,1
1324,9,1,11,54650.079533856864,54650.079533856864,1
1325,9,2,1,6743.685395782574,4839.9814018433535,2
1326,9,2,3,2323.5408509973454,2323.5408509973454,1
1327,9,2,4,3274.0844893899734,3274.0844893899734,1
1328,9,2,5,1072.099755339466,1072.099755339466,1
1329,9,2,6,8913.494275741697,8913.494275741697,1
1330,9,2,8,8807.56213837452,8807.56213837452,1
1331,9,2,11,5729.76585919588,5729.76585919588,1
1332,9,2,12,356.8688898658123,243.27724704857837,2
1333,9,2,13,2522.9367656901522,2522.9367656901522,1
1334,9,2,14,1043.1452475572653,1043.1452475572653,1
1335,9,2,20,5647.395941576369,3593.545958879371,4
1336,9,2,22,2531.7754250913654,2531.7754250913654,1
1337,9,2,23,12027.908950147725,12027.908950147725,1
1338,9,3,1,897.8438452570343,897.8438452570343,1
1339,9,3,2,2323.540850997345,2323.540850997345,1
1340,9,4,1,24551.686181143446,24551.686181143446,1
1341,9,4,2,3274.084489389974,3274.084489389974,1
1342,9,4,7,7649.606032542986,7649.606032542986,1
1343,9,4,12,3981.6547926088506,3981.6547926088506,1
1344,9,5,2,1072.0997553394661,1072.0997553394661,1
1345,9,5,20,2324.3972774494155,2324.3972774494155,1
1346,9,6,2,8913.4942757417,8913.4942757417,1
1347,9,6,20,8573.360870021044,8573.360870021044,1
1348,9,7,0,1284.0170487535454,1284.0170487535454,1
1349,9,7,1,1595.0952137721197,1595.0952137721197,1
1350,9,7,4,7649.606032542988,7649.606032542988,1
1351,9,7,10,1461.4663348347483,1461.4663348347483,1
1352,9,7,11,359.6099755589396,359.6099755589396,1
1353,9,7,12,325.2404712606277,325.2404712606277,1
1354,9,7,23,6068.779716116403,6068.779716116403,1
1355,9,7,24,2397.251803526923,2397.251803526923,1
1356,9,7,25,1793.1230929620037,1793.1230929620037,1
1357,9,8,2,8807.562138374522,8807.562138374522,1
1358,9,8,12,390.54114374669746,390.54114374669746,1
1359,9,9,0,525.1297785454493,525.1297785454493,1
1360,9,9,10,1445.8359357184286,1445.8359357184286,1
1361,9,9,11,230.5953361016774,230.5953361016774,1
1362,9,9,24,879.0739930101198,879.0739930101198,1
1363,9,9,25,684.6824805106597,684.6824805106597,1
1364,9,10,0,755.085353925103,755.085353925103,1
1365,9,10,7,1461.466334834748,1461.466334834748,1
1366,9,10,9,1445.8359357184286,1445.8359357184286,1
1367,9,10,24,256.2166166939355,256.2166166939355,1
1368,9,11,0,6108.44153495568,6108.44153495568,1
1369,9,11,1,54650.079533856835,54650.079533856835,1
1370,9,11,2,5729.765859195879,5729.765859195879,1
1371,9,11,7,359.6099755589396,359.6099755589396,1
1372,9,11,9,230.5953361016774,230.5953361016774,1
1373,9,11,20,27046.913818282297,10724.391438382681,6
1374,9,11,25,22226.5833072727,13064.335672132876,4
1375,9,12,2,356.86888986581226,243.27724704857835,2
1376,9,12,4,3981.65479260885,3981.65479260885,1
1377,9,12,7,325.2404712606277,325.2404712606277,1
1378,9,12,8,390.5411437466975,390.5411437466975,1
1379,9,12,17,2812.050240919942,2812.050240919942,1
1380,9,12,18,2635.3494469327225,2635.3494469327225,1
1381,9,12,21,2370.46166550603,2370.46166550603,1
1382,9,12,23,43810.36864226582,21562.11905021186,3
1383,9,13,2,2522.936765690151,2522.936765690151,1
1384,9,13,20,1280.2275860322356,1280.2275860322356,1
1385,9,14,2,1043.145247557265,1043.145247557265,1
1386,9,14,22,6034.333593171292,6034.333593171292,1
1387,9,14,23,17561.710950599,17561.710950599,1
1388,9,15,23,4522.661643038986,4522.661643038986,1
1389,9,16,23,9191.629688836878,9191.629688836878,1
1390,9,16,25,3413.8788846674056,2529.7267168471058,2
1391,9,17,12,2812.050240919942,2812.050240919942,1
1392,9,17,18,283.7261947028601,283.7261947028601,1
1393,9,18,12,2635.349446932723,2635.349446932723,1
1394,9,18,17,283.7261947028601,283.7261947028601,1
1395,9,19,20,43425.9976698805,29757.260177653738,3
1396,9,20,2,5647.39594157637,3593.5459588793715,4
1397,9,20,5,2324.3972774494155,2324.3972774494155,1
1398,9,20,6,8573.360870021043,8573.360870021043,1
