,graph_id,src,dest,total_border,greatest_border,nb_borders
0,0,0,9,147.83564831190043,147.83564831190043,1
1,0,0,10,2387.6358718708602,2387.6358718708602,1
2,0,0,16,118.35011829242929,118.35011829242929,1
3,0,1,12,966.3453719848618,966.3453719848618,1
4,0,1,14,2421.765764909714,2421.765764909714,1
5,0,1,17,974.080786209602,974.080786209602,1
6,0,2,3,882.0790532485518,882.0790532485518,1
7,0,2,5,1157.5040866550708,1157.5040866550708,1
8,0,2,14,413.18489624419624,413.18489624419624,1
9,0,2,17,1418.2521210421137,1418.2521210421137,1
10,0,3,2,882.0790532485516,882.0790532485516,1
11,0,3,5,795.373109409311,795.373109409311,1
12,0,3,6,580.3111760632794,580.3111760632794,1
13,0,3,10,2749.701779134134,2749.701779134134,1
14,0,3,17,5292.906170050029,5292.906170050029,1
15,0,3,18,3140.0107649334145,2531.7600391408014,2
16,0,3,19,7277.868076996596,7277.868076996596,1
17,0,4,17,2401.243823895311,2401.243823895311,1
18,0,5,2,1157.5040866550708,1157.5040866550708,1
19,0,5,3,795.3731094093112,795.3731094093112,1
20,0,5,14,1906.2112346946458,1906.2112346946458,1
21,0,5,18,741.0855170690263,741.0855170690263,1
22,0,6,3,580.3111760632794,580.3111760632794,1
23,0,6,8,1509.9360838654736,1509.9360838654736,1
24,0,6,9,2471.979882008564,2415.094617558205,2
25,0,6,10,1821.5492646787575,1821.5492646787575,1
26,0,7,10,1665.4499833505793,1665.4499833505793,1
27,0,7,13,746.212413349048,746.212413349048,1
28,0,8,6,1509.9360838654734,1509.9360838654734,1
29,0,8,10,2498.8134391590834,2498.8134391590834,1
30,0,8,16,1401.202872021278,1401.202872021278,1
31,0,9,0,147.83564831190043,147.83564831190043,1
32,0,9,6,2471.979882008564,2415.094617558205,2
33,0,9,10,38.670046547609694,38.670046547609694,1
34,0,9,16,15488.421622553575,10023.01138688235,2
35,0,10,0,2387.63587187086,2387.63587187086,1
36,0,10,3,2749.7017791341345,2749.7017791341345,1
37,0,10,6,1821.549264678758,1821.549264678758,1
38,0,10,7,1665.4499833505795,1665.4499833505795,1
39,0,10,8,2498.813439159083,2498.813439159083,1
40,0,10,9,38.670046547609694,38.670046547609694,1
41,0,10,11,2855.5392874605914,1645.8967473614898,2
42,0,10,12,4545.834883433276,3349.3236940229444,2
43,0,10,13,926.7710573565421,779.8157981777448,2
44,0,10,15,6348.002643653006,3464.509951250398,3
45,0,10,16,9285.312887440727,9285.312887440727,1
46,0,10,17,7535.8401553726935,7535.8401553726935,1
47,0,11,10,2855.5392874605914,1645.8967473614896,2
48,0,11,12,2935.0594152655676,2935.0594152655676,1
49,0,11,15,1339.1195143668224,1339.1195143668224,1
50,0,12,1,966.3453719848617,966.3453719848617,1
51,0,12,10,4545.8348834332755,3349.323694022944,2
52,0,12,11,2935.0594152655676,2935.0594152655676,1
53,0,12,14,1138.8056790176245,1138.8056790176245,1
54,0,12,17,415.26741335092424,415.26741335092424,1
55,0,13,7,746.2124133490479,746.2124133490479,1
56,0,13,10,926.7710573565422,779.8157981777449,2
57,0,13,15,558.4370271576164,558.4370271576164,1
58,0,14,1,2421.7657649097137,2421.7657649097137,1
59,0,14,2,413.1848962441963,413.1848962441963,1
60,0,14,5,1906.2112346946462,1906.2112346946462,1
61,0,14,12,1138.8056790176242,1138.8056790176242,1
62,0,14,17,1309.981863574088,1309.981863574088,1
63,0,15,10,6348.002643653006,3464.509951250399,3
64,0,15,11,1339.1195143668228,1339.1195143668228,1
65,0,15,13,558.4370271576165,558.4370271576165,1
66,0,16,0,118.35011829242929,118.35011829242929,1
67,0,16,8,1401.2028720212784,1401.2028720212784,1
68,0,16,9,15488.421622553575,10023.011386882354,2
69,0,16,10,9285.312887440734,9285.312887440734,1
70,0,17,1,974.080786209602,974.080786209602,1
71,0,17,2,1418.2521210421141,1418.2521210421141,1
