,src,dest,overlap,distance,total_border,greatest_border,nb_border
2,65,662,0,0.0,4478.37126659379,3295.876364314359,3
0,66,34,0,0.0,1794.2986903711778,1794.2986903711778,1
1,66,89,0,0.0,154.1252312363667,154.1252312363667,1
2,66,133,0,0.0,241.92794175027944,241.92794175027944,1
3,66,138,0,0.0,4127.6602097042105,2732.889893796094,2
4,66,179,0,0.0,4504.172909756712,4504.172909756712,1
5,66,656,0,0.0,867.6877661297681,867.6877661297681,1
6,66,662,0,0.0,2067.452176299858,2067.452176299858,1
7,66,690,0,0.0,8804.105377244136,2886.853696052985,6
0,67,32,0,0.0,2923.9618167624994,2923.9618167624994,1
1,67,662,0,0.0,4401.788593969317,4401.788593969317,1
2,67,691,0,0.0,201.21961496087624,201.21961496087624,1
0,68,50,0,0.0,929.5323344167233,929.5323344167233,1
1,68,143,0,0.0,478.6908464905651,478.6908464905651,1
2,68,171,0,0.0,651.3340796435456,651.3340796435456,1
0,69,46,0,0.0,1102.6667571553437,1102.6667571553437,1
1,69,662,0,0.0,2826.3933147055645,2826.3933147055645,1
0,70,19,0,0.0,1086.5093774268273,1086.5093774268273,1
1,70,22,0,0.0,1129.7768374327738,1129.7768374327738,1
2,70,40,0,0.0,132.17227583765367,132.17227583765367,1
3,70,52,0,0.0,714.5593306460918,714.5593306460918,1
4,70,53,0,0.0,1589.9146300950847,1589.9146300950847,1
5,70,63,0,0.0,6267.4814465251675,5193.615517896675,2
6,70,121,0,0.0,729.1474212874407,729.1474212874407,1
7,70,125,0,0.0,2330.834791968871,2330.834791968871,1
8,70,126,0,0.0,417.8992357178222,417.8992357178222,1
9,70,661,0,0.0,5270.410788530542,3450.3580058346806,3
10,70,667,0,0.0,987.7993075236119,987.7993075236119,1
11,70,691,0,0.0,2547.3633930330193,2547.3633930330193,1
0,71,202,0,0.0,532.1117705829956,532.1117705829956,1
1,71,662,0,0.0,3849.213741773964,3849.213741773964,1
2,71,691,0,0.0,1030.136742119223,1030.136742119223,1
0,72,15,0,0.0,1429.0808450829552,1429.0808450829552,1
1,72,41,0,0.0,1768.59158493767,1768.59158493767,1
2,72,50,0,0.0,3022.92391291554,3022.92391291554,1
3,72,61,0,0.0,3444.434283082478,3444.434283082478,1
4,72,115,0,0.0,1288.3584145024613,1288.3584145024613,1
5,72,139,0,0.0,471.2554353005914,471.2554353005914,1
6,72,141,0,0.0,2249.4897990625,2249.4897990625,1
7,72,147,0,0.0,1311.917045683603,1311.917045683603,1
8,72,168,0,0.0,500.49889770129283,500.49889770129283,1
9,72,662,0,0.0,7002.60943177054,5267.622484505626,3
0,73,21,0,0.0,1273.196975633929,1273.196975633929,1
1,73,127,0,0.0,1065.2646837127024,1065.2646837127024,1
2,73,679,0,0.0,3971.5633060434584,2072.0006867410852,2
0,74,44,0,0.0,1280.8578701984743,1280.8578701984743,1
1,74,662,0,0.0,265.47789453205144,265.47789453205144,1
2,74,679,0,0.0,2237.041779635239,2237.041779635239,1
0,75,134,0,0.0,499.8365165313958,499.8365165313958,1
1,75,662,0,0.0,2089.431260060633,2089.431260060633,1
0,76,203,0,0.0,2134.9617299757374,2134.9617299757374,1
1,76,662,0,0.0,2028.1777555351682,2028.1777555351682,1
0,77,662,0,0.0,9320.996737506674,9320.996737506674,1
0,78,662,0,0.0,3102.028612218945,3102.028612218945,1
0,79,662,0,0.0,2479.8420820608912,2479.8420820608912,1
0,80,661,0,0.0,2357.3881785892736,2357.3881785892736,1
0,81,34,0,0.0,1294.701662669941,1294.701662669941,1
1,81,133,0,0.0,1520.5618952367902,1520.5618952367902,1
0,82,661,0,0.0,2544.4547037030006,2544.4547037030006,1
0,83,109,0,0.0,604.7478417026916,604.7478417026916,1
1,83,205,0,0.0,887.0491802390377,887.0491802390377,1
2,83,691,0,0.0,892.8651668183513,892.8651668183513,1
0,84,134,0,0.0,1149.6476293201183,1149.6476293201183,1
1,84,662,0,0.0,6298.974333243343,6298.974333243343,1
0,85,34,0,0.0,1327.5727364621482,1327.5727364621482,1
1,85,181,0,0.0,901.7940726596511,901.7940726596511,1
2,85,662,0,0.0,2665.6894135197276,2665.6894135197276,1
0,86,1,0,0.0,6967.211401986484,5415.288412887521,2
1,86,180,0,0.0,207.7355524442807,207.7355524442807,1
2,86,661,0,0.0,23557.83808036009,22120.181136413867,2
3,86,680,0,0.0,2164.603288505412,2164.603288505412,1
0,87,662,0,0.0,5822.886125851372,5822.886125851372,1
0,88,7,0,0.0,663.2651476446372,663.2651476446372,1
1,88,36,0,0.0,1141.4426305946322,1141.4426305946322,1
2,88,43,0,0.0,1222.9434115374029,1222.9434115374029,1
3,88,135,0,0.0,1086.0116884225768,1086.0116884225768,1
4,88,166,0,0.0,1327.454465940547,1327.454465940547,1
5,88,182,0,0.0,288.9394187374643,288.9394187374643,1
0,89,34,0,0.0,1905.3227960836282,1905.3227960836282,1
1,89,66,0,0.0,154.1252312363667,154.1252312363667,1
2,89,662,0,0.0,5729.894886817983,5729.894886817983,1
0,90,10,0,0.0,5233.7030614218675,5233.7030614218675,1
1,90,39,0,0.0,707.6280972210557,707.6280972210557,1
2,90,138,0,0.0,573.2112320677586,573.2112320677586,1
3,90,662,0,0.0,3875.1395216403353,3875.1395216403353,1
0,91,110,0,0.0,1000.4229649660201,1000.4229649660201,1
1,91,661,0,0.0,8232.578439993456,8232.578439993456,1
2,91,680,0,0.0,1193.393967323911,1193.393967323911,1
0,92,33,0,0.0,635.3666182362518,635.3666182362518,1
1,92,140,0,0.0,776.9950809975526,776.9950809975526,1
2,92,661,0,0.0,468.0846073944707,468.0846073944707,1
3,92,691,0,0.0,1666.648390282135,1666.648390282135,1
