,src,dest,overlap,distance,total_border,greatest_border,nb_border
4,464606,473713,0,0.0,1029.5904489262487,1029.5904489262487,1
5,464606,493448,0,0.0,1287.1774664617396,1287.1774664617396,1
6,464606,502358,0,0.0,1700.2057731922152,1700.2057731922152,1
7,464606,597247,0,0.0,3442.959520412645,3442.959520412645,1
0,464613,466754,0,0.0,219.6993548012902,219.6993548012902,1
1,464613,502358,0,0.0,2600.5294973047,2600.5294973047,1
0,464627,465694,0,0.0,2474.9378349215312,2474.9378349215312,1
1,464627,466358,0,0.0,5233.703061421867,5233.703061421867,1
2,464627,466748,0,0.0,1923.4556418641241,1136.494203781357,2
3,464627,473698,0,0.0,8698.901585637745,4306.927000380286,4
4,464627,481777,0,0.0,2815.3621560470306,2815.3621560470306,1
5,464627,481850,0,0.0,810.2064950182161,810.2064950182161,1
6,464627,502305,0,0.0,5481.729446327082,5481.729446327082,1
7,464627,597365,0,0.0,5617.904884400067,5617.904884400067,1
0,464631,473756,0,0.0,1270.1888966001936,1270.1888966001936,1
1,464631,502358,0,0.0,1726.5647235401718,1726.5647235401718,1
0,464634,465703,0,0.0,415.8238810552704,415.8238810552704,1
1,464634,466758,0,0.0,813.3650568539841,813.3650568539841,1
2,464634,473742,0,0.0,942.179509827328,942.179509827328,1
3,464634,597227,0,0.0,196.82221965965397,196.82221965965397,1
0,464660,473696,0,0.0,530.5413493361116,530.5413493361116,1
1,464660,473756,0,0.0,2789.0069244891406,2789.0069244891406,1
2,464660,502358,0,0.0,4144.924094077116,2254.672332020858,2
3,464660,597247,0,0.0,1319.1171745866409,1319.1171745866409,1
0,464676,481850,0,0.0,66.79079727104855,66.79079727104855,1
1,464676,502305,0,0.0,569.8083018474525,569.8083018474525,1
2,464676,597227,0,0.0,1415.5329366992744,1415.5329366992744,1
3,464676,597365,0,0.0,932.3706983251483,932.3706983251483,1
0,464678,465715,0,0.0,1451.5316839585478,1451.5316839585478,1
1,464678,465992,0,0.0,1429.0808450829552,1429.0808450829552,1
2,464678,473762,0,0.0,1081.3726761663002,1081.3726761663002,1
3,464678,493461,0,0.0,660.1101797853715,660.1101797853715,1
4,464678,502329,0,0.0,573.7599422167265,573.7599422167265,1
5,464678,597197,0,0.0,1424.8368455917118,1424.8368455917118,1
0,464680,465721,0,0.0,811.8517742821309,811.8517742821309,1
1,464680,597227,0,0.0,2491.427665771282,2491.427665771282,1
0,464689,597365,0,0.0,5335.045505936497,3025.2802926687723,2
0,464702,465734,0,0.0,2956.775818342035,2956.775818342035,1
1,464702,473762,0,0.0,110.74976693589923,110.74976693589923,1
2,464702,473775,0,0.0,691.7124736550679,691.7124736550679,1
3,464702,488123,0,0.0,1359.1407803386787,1359.1407803386787,1
4,464702,493461,0,0.0,337.71041752705867,337.71041752705867,1
0,464727,465736,0,0.0,1436.3456508452643,1436.3456508452643,1
1,464727,465934,0,0.0,1086.5093774268275,1086.5093774268275,1
0,464729,466772,0,0.0,373.3079939951056,373.3079939951056,1
1,464729,473779,0,0.0,432.8045599012939,432.8045599012939,1
2,464729,481904,0,0.0,0.0,0.0,0
3,464729,597227,0,0.0,2192.775845699839,2192.775845699839,1
4,464729,597365,0,0.0,3512.302134073549,3418.4911784228616,2
0,464736,465993,0,0.0,1273.196975633929,1273.196975633929,1
1,464736,597227,0,0.0,2279.03577044471,2279.03577044471,1
0,464747,465934,0,0.0,1129.7768374327738,1129.7768374327738,1
1,464747,466770,0,0.0,3304.4281444092794,3304.4281444092794,1
2,464747,597188,0,0.0,496.1488088741872,496.1488088741872,1
