,graph_id,src,dest,total_border,greatest_border,nb_borders
0,FR76322417,0,1,778.262759807056,778.262759807056,1
1,FR76322417,0,2,324.47824081841685,324.47824081841685,1
2,FR76322417,0,3,2980.6520476828373,2980.6520476828373,1
3,FR76322417,0,4,3517.2653368889637,3517.2653368889637,1
4,FR76322417,0,5,3761.429000027666,3761.429000027666,1
5,FR76322417,0,6,1609.3770582488937,1609.3770582488937,1
6,FR76322417,1,2,99.48141193839334,99.48141193839334,1
7,FR75792018,0,1,110.61740420253578,110.61740420253578,1
8,FR75792018,0,3,694.298709048723,694.298709048723,1
9,FR75792018,0,6,3569.873791304159,3569.873791304159,1
10,FR75792018,0,7,7860.171496085358,7860.171496085358,1
11,FR75792018,0,8,9999.789874095542,9999.789874095542,1
12,FR75792018,0,10,4193.020426623651,4193.020426623651,1
13,FR75792018,0,11,8022.203148285659,8022.203148285659,1
14,FR75792018,0,12,4052.940103680126,4052.940103680126,1
15,FR75792018,0,13,4337.086612710799,4337.086612710799,1
16,FR75792018,0,14,2913.107847229768,2913.107847229768,1
17,FR75792018,0,15,951.3437252072979,951.3437252072979,1
18,FR75792018,0,16,1562.307919081752,996.3138598604365,2
19,FR75792018,0,17,544.627062976836,544.627062976836,1
20,FR75792018,1,6,241.6368488081381,241.6368488081381,1
21,FR75792018,2,4,298.23109874498795,298.23109874498795,1
22,FR75792018,2,5,1164.1971956090383,1164.1971956090383,1
23,FR75792018,4,5,433.95513651290037,433.95513651290037,1
24,FR75792018,4,6,1394.7207426735529,1394.7207426735529,1
25,FR75792018,5,6,895.6059327999394,895.6059327999394,1
26,FR75792018,6,17,1447.6398048245762,1447.6398048245762,1
27,FR75792018,7,18,3795.0993589426344,3795.0993589426344,1
28,FR75792018,8,16,2254.1419565839687,2254.1419565839687,1
29,FR75792018,9,16,2556.2166001559717,2556.2166001559717,1
30,FR75792018,13,16,531.6903477445248,531.6903477445248,1
31,FR24371129,0,1,155.68535478635124,155.68535478635124,1
32,FR24371129,0,5,57.86513280689921,57.86513280689921,1
33,FR24371129,1,4,407.59349128598353,407.59349128598353,1
34,FR24371129,1,5,217.71330673331954,217.71330673331954,1
35,FR24371129,1,15,1103.6820466621377,1103.6820466621377,1
36,FR24371129,1,17,140.42362990351006,140.42362990351006,1
37,FR24371129,2,3,330.23652958419626,330.23652958419626,1
38,FR24371129,2,17,3410.4785781859828,3410.4785781859828,1
39,FR24371129,3,17,1758.4789232208943,1703.691265686647,2
40,FR24371129,4,5,390.6475822889942,390.6475822889942,1
41,FR24371129,4,17,1913.2997512544516,1913.2997512544516,1
42,FR24371129,6,7,707.6518426146766,707.6518426146766,1
43,FR24371129,6,13,126.07155611044729,126.07155611044729,1
44,FR24371129,6,14,125.07506592052921,125.07506592052921,1
45,FR24371129,6,17,3845.3832098768703,3845.3832098768703,1
46,FR24371129,8,10,2387.7045051013965,2387.7045051013965,1
47,FR24371129,8,12,1280.8954835222644,1280.8954835222644,1
48,FR24371129,8,15,1402.5058397533694,1402.5058397533694,1
49,FR24371129,8,16,1998.2707074817865,1998.2707074817865,1
50,FR24371129,8,17,1090.0498003891823,1090.0498003891823,1
51,FR24371129,9,17,5080.036235486213,5080.036235486213,1
52,FR24371129,10,15,2543.3480843079574,2543.3480843079574,1
53,FR24371129,10,17,1426.5061528697124,1426.5061528697124,1
54,FR24371129,11,16,145.68877226911872,145.68877226911872,1
55,FR24371129,12,13,1099.8290676875063,1099.8290676875063,1
56,FR24371129,12,17,4191.612897251013,4191.612897251013,1
57,FR24371129,13,17,2200.0691389929116,2200.0691389929116,1
58,FR24371129,15,17,590.966968461705,590.966968461705,1
59,FR84153112,0,3,6126.397159104379,6126.397159104379,1
60,FR84153112,0,4,3282.238760627938,3282.238760627938,1
61,FR84153112,0,5,168.2751048332803,168.2751048332803,1
62,FR84153112,0,8,1765.7068648369452,1765.7068648369452,1
63,FR84153112,0,10,100.5678218907705,100.5678218907705,1
64,FR84153112,1,2,744.0682901311433,744.0682901311433,1
65,FR84153112,1,3,6102.538935983262,3059.676816334692,2
66,FR84153112,1,4,1572.1058472736054,1572.1058472736054,1
67,FR84153112,1,6,2066.770850182709,2066.770850182709,1
68,FR84153112,1,9,14600.698022180584,14600.698022180584,1
69,FR84153112,3,4,555.66898847097,555.66898847097,1
70,FR84153112,3,7,1346.846930223826,1346.846930223826,1
71,FR84153112,3,8,1988.6643154508777,1988.6643154508777,1
72,FR84153112,3,9,9147.675696169734,6202.16445374253,2
73,FR84153112,3,10,2095.2465504836705,2095.2465504836705,1
74,FR84153112,3,11,2666.372215168593,2666.372215168593,1
75,FR84153112,5,10,1102.7044740081772,1102.7044740081772,1
76,FR84153112,7,10,689.086682196102,689.086682196102,1
77,FR84153112,8,10,1127.010973749277,1127.010973749277,1
78,FR84153112,9,11,726.9352669520449,726.9352669520449,1
79,FR84153259,0,1,4088.672212769925,2878.2922077314324,2
80,FR84153259,0,3,2058.896694598138,2058.896694598138,1
81,FR84153259,0,4,1000.763649985003,1000.763649985003,1
82,FR84153259,0,5,2845.505285126643,1711.94321175141,2
83,FR84153259,0,7,2769.392046949407,2769.392046949407,1
84,FR84153259,0,8,1046.4138459527187,1046.4138459527187,1
85,FR84153259,0,9,3691.4064844398863,1991.6901799775312,4
86,FR84153259,0,10,3685.8488462113673,2005.262689839225,2
87,FR84153259,0,11,4282.713217369252,4282.713217369252,1
88,FR84153259,0,12,4772.294437779724,4772.294437779724,1
89,FR84153259,0,13,3641.4482532708466,3641.4482532708466,1
