,graph_id,src,dest,total_border,greatest_border,nb_borders
0,FR75244050,0,10,2018.715904973755,1996.2861240323791,2
1,FR75244050,0,12,3610.8407293656624,3610.8407293656624,1
2,FR75244050,0,14,3803.0504343473917,3803.0504343473917,1
3,FR75244050,0,20,272.5108924428155,272.5108924428155,1
4,FR75244050,1,10,2131.761087320819,2131.761087320819,1
5,FR75244050,1,14,1642.520469643893,1642.520469643893,1
6,FR75244050,2,10,4532.76754175784,4532.76754175784,1
7,FR75244050,3,10,3450.6947554273215,3450.6947554273215,1
8,FR75244050,3,13,1634.7843513803525,1634.7843513803525,1
9,FR75244050,4,10,6248.429397341625,6248.429397341625,1
10,FR75244050,5,11,520.8129296976293,520.8129296976293,1
11,FR75244050,5,18,513.7628193922761,513.7628193922761,1
12,FR75244050,6,10,2596.1207674528478,2596.1207674528478,1
13,FR75244050,7,10,9261.20964198276,9261.20964198276,1
14,FR75244050,7,12,4991.3010476574655,4991.3010476574655,1
15,FR75244050,7,20,350.0143833270554,350.0143833270554,1
16,FR75244050,8,10,9484.973204571064,9484.973204571064,1
17,FR75244050,9,10,2950.6068998079654,2950.6068998079654,1
18,FR75244050,9,21,422.33016500671135,422.33016500671135,1
19,FR75244050,10,0,2018.7159049737547,1996.286124032379,2
20,FR75244050,10,1,2131.761087320819,2131.761087320819,1
21,FR75244050,10,2,4532.76754175784,4532.76754175784,1
22,FR75244050,10,3,3450.6947554273215,3450.6947554273215,1
23,FR75244050,10,4,6248.429397341624,6248.429397341624,1
24,FR75244050,10,6,2596.1207674528478,2596.1207674528478,1
25,FR75244050,10,7,9261.20964198276,9261.20964198276,1
26,FR75244050,10,8,9484.973204571059,9484.973204571059,1
27,FR75244050,10,9,2950.6068998079654,2950.6068998079654,1
28,FR75244050,10,14,3031.1280394064206,2216.2454753235397,2
29,FR75244050,10,16,3145.6503712622566,3145.6503712622566,1
30,FR75244050,10,17,2307.7480318531516,2307.7480318531516,1
31,FR75244050,10,20,2702.0354395664676,2702.0354395664676,1
32,FR75244050,10,21,40.84533658953595,40.84533658953595,1
33,FR75244050,10,22,515.640581832894,515.640581832894,1
34,FR75244050,11,5,520.8129296976293,520.8129296976293,1
35,FR75244050,11,15,667.031435799533,667.031435799533,1
36,FR75244050,11,18,877.5548762713115,877.5548762713115,1
37,FR75244050,11,19,2408.442433073917,2408.442433073917,1
38,FR75244050,12,0,3610.840729365663,3610.840729365663,1
39,FR75244050,12,7,4991.3010476574655,4991.3010476574655,1
40,FR75244050,12,18,3538.6193389929094,3538.6193389929094,1
41,FR75244050,12,19,1182.525521801832,1182.525521801832,1
42,FR75244050,12,20,1962.7886952482759,1962.7886952482759,1
43,FR75244050,13,3,1634.7843513803527,1634.7843513803527,1
44,FR75244050,14,0,3803.0504343473926,3803.0504343473926,1
